SERIAL_NO,DEVICE_ID,PRODUCT_FAMILY,MODEL_NAME,PART_NUMBER,DEVICE_CAPACITY,COLOR,PURCHASE_SOURCE,ORDER_NUMBER,DATE_ADDED_TO_ORGANIZATION,DATE_REMOVED_FROM_ORGANIZATION,MDM_SERVER,DATE_ASSIGNED_TO_MDM_SERVER
C02D10J1MD6M,SC02D10J1MD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-7,2020-10-01T18:23:08Z,2024-10-08T04:18:31Z,NONE,
C02D110SMD6M,SC02D110SMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-7,2020-10-01T18:22:15Z,,Kandji,2022-05-10T10:56:23Z
C02D12YSMD6M,SC02D12YSMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-7,2020-10-01T18:22:30Z,,Kandji,2022-05-10T10:56:21Z
C02D1885MD6M,SC02D1885MD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-5,2020-10-01T16:21:43Z,,Kandji,2022-05-10T10:56:22Z
C02D18L4MD6M,SC02D18L4MD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-7,2020-10-01T18:22:36Z,2024-10-08T04:18:31Z,NONE,
C02D18UFMD6M,SC02D18UFMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-7,2020-10-01T18:22:45Z,,Kandji,2022-05-10T10:56:25Z
C02D27K1MD6M,SC02D27K1MD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2HN/A,512GB,SPACE GRAY,SNIPER SYSTEMS & SOLUTIONS PVT LTD (66CC1D0),DEP_ORD_418608,2020-09-09T05:14:09Z,,Kandji,2022-05-10T10:56:23Z
C02DC6XCMD6R,SC02DC6XCMD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,Unknown,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-2,2020-09-29T20:25:40Z,2024-10-08T04:18:31Z,NONE,
C02DC6XZMD6R,SC02DC6XZMD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,Unknown,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-2,2020-09-29T20:25:42Z,,Kandji,2022-05-10T10:56:21Z
C02DC6Y0MD6R,SC02DC6Y0MD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,Unknown,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-2,2020-09-29T20:25:42Z,,Kandji,2022-05-10T10:56:21Z
C02DFD4QMD6M,SC02DFD4QMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-5,2020-10-01T16:21:46Z,,Kandji,2022-05-10T10:56:20Z
C02DFEDAMD6M,SC02DFEDAMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-5,2020-10-01T16:21:47Z,,Kandji,2022-05-10T10:56:23Z
C02DG2TJMD6R,SC02DG2TJMD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,Unknown,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-2,2020-09-29T20:25:47Z,,Kandji,2022-05-10T10:56:23Z
C02DG2TWMD6R,SC02DG2TWMD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,Unknown,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-2,2020-09-29T20:25:49Z,,Kandji,2022-05-10T10:56:20Z
C02DG2U8MD6R,SC02DG2U8MD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,Unknown,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),197205-TD-2,2020-09-29T20:25:51Z,,Kandji,2022-05-10T10:56:20Z
C02F50JZMD6M,SC02F50JZMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),203378-TD-2,2021-02-15T20:20:54Z,,Kandji,2022-05-10T10:56:23Z
C02F6729MD6M,SC02F6729MD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),203378-TD-4,2021-02-22T18:24:29Z,,Kandji,2022-05-10T10:56:23Z
C02F6DNHMD6M,SC02F6DNHMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),203378-TD-4,2021-02-22T18:24:44Z,,Kandji,2022-05-10T10:56:27Z
C02F6DNSMD6M,SC02F6DNSMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),203378-TD-4,2021-02-22T18:24:45Z,,Kandji,2022-05-10T10:56:27Z
C02F6DUGMD6M,SC02F6DUGMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),203378-TD-4,2021-02-22T18:24:54Z,,Kandji,2022-05-10T10:56:27Z
C02F6DV4MD6M,SC02F6DV4MD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),203378-TD-4,2021-02-22T18:24:55Z,,Kandji,2022-05-10T10:56:25Z
C02FGB7RMD6M,C02FGB7RMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),207359,2021-04-22T08:19:49Z,,Kandji,2022-05-10T10:56:22Z
C02FGBBFMD6M,C02FGBBFMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),207359,2021-04-22T08:19:28Z,,Kandji,2022-05-10T10:56:23Z
C02FGBJXMD6M,C02FGBJXMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),207359,2021-04-22T08:19:30Z,,Kandji,2022-05-10T10:56:22Z
C02FGE1SMD6M,C02FGE1SMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),207359,2021-04-22T08:19:33Z,,Kandji,2022-05-10T10:56:27Z
C02FGE3LMD6M,C02FGE3LMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),207359,2021-04-22T08:19:37Z,,Kandji,2022-05-10T10:56:22Z
C02FGEJPMD6M,C02FGEJPMD6M,Mac,"MacBook Pro (16-inch, 2019)",MVVJ2LL/A,512GB,SPACE GRAY,BUSINESS IT SOURCE (19AB94B0),207359,2021-04-22T08:19:42Z,,Kandji,2022-05-10T10:56:21Z
